Fiscal Year,Service,Department,Program,Expense Category,Fund,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2014,Utilities & Transportation,Transportation,Mobility-Capital,New Trails and Bike Paths,NA,NA,Expense,New Trails and Bike Paths,0,1368584
2014,Utilities & Transportation,Transportation,Mobility-Capital,Sidewalks & Pedestrian Facilities,NA,NA,Expense,Sidewalks & Pedestrian Facilities,0,15853850
2014,Utilities & Transportation,Transportation,Mobility-Capital,Transit & HOV,NA,NA,Expense,Transit & HOV,0,9717002
2014,Utilities & Transportation,Transportation,Mobility-Operations,Commuter Mobility,NA,NA,Expense,Commuter Mobility,0,12393245
2014,Utilities & Transportation,Transportation,Mobility-Operations,Neighborhoods,NA,NA,Expense,Neighborhoods,0,3694621
2014,Utilities & Transportation,Transportation,Mobility-Operations,Signs & Markings,NA,NA,Expense,Signs & Markings,0,4658032
2014,Utilities & Transportation,Transportation,Mobility-Operations,Traffic Signals,NA,NA,Expense,Traffic Signals,0,10996940
2014,Utilities & Transportation,Transportation,ROW Management,Street Use Permitting & Enforcement,NA,NA,Expense,Street Use Permitting & Enforcement,0,19842865
2014,Utilities & Transportation,Transportation,Street Maintenance,Emergency Response,NA,NA,Expense,Emergency Response,0,1997176
2014,Utilities & Transportation,Transportation,Street Maintenance,Operations Support,NA,NA,Expense,Operations Support,0,3919076
2014,Utilities & Transportation,Transportation,Street Maintenance,Pavement Management,NA,NA,Expense,Pavement Management,0,295263
2014,Utilities & Transportation,Transportation,Street Maintenance,Street Cleaning,NA,NA,Expense,Street Cleaning,0,5731196
2014,Utilities & Transportation,Transportation,Street Maintenance,Street Repair,NA,NA,Expense,Street Repair,0,9610970
2014,Utilities & Transportation,Transportation,Urban Forestry,Arborist Services,NA,NA,Expense,Arborist Services,0,934491
2014,Utilities & Transportation,Transportation,Urban Forestry,Tree & Landscape Maintenance,NA,NA,Expense,Tree & Landscape Maintenance,0,3710249
2013,Utilities & Transportation,Transportation,Bridges & Structures,Bridge Operations,NA,NA,Expense,Bridge Operations,0,3032767.89
2013,Utilities & Transportation,Transportation,Bridges & Structures,Structures Engineering,NA,NA,Expense,Structures Engineering,0,795538.89
2013,Utilities & Transportation,Transportation,Bridges & Structures,Structures Maintenance,NA,NA,Expense,Structures Maintenance,0,3651168.92
2013,Utilities & Transportation,Transportation,Department Management,Director's Office,NA,NA,Expense,Director's Office,0,2277744.93
2013,Utilities & Transportation,Transportation,Department Management,Division Management,NA,NA,Expense,Division Management,0,12770394.4
2013,Utilities & Transportation,Transportation,Department Management,Human Resources,NA,NA,Expense,Human Resources,0,1218573.49
2013,Utilities & Transportation,Transportation,Department Management,Indirect Cost Recovery - Department Management,NA,NA,Expense,Indirect Cost Recovery - Department Management,0,-28841160.4
2013,Utilities & Transportation,Transportation,Department Management,Public Information,NA,NA,Expense,Public Information,0,1068448.43
2013,Utilities & Transportation,Transportation,Department Management,Resource Management,NA,NA,Expense,Resource Management,0,12208543.24
2013,Utilities & Transportation,Transportation,Department Management,Revenue Development,NA,NA,Expense,Revenue Development,0,508387.93
2013,Utilities & Transportation,Transportation,Engineering Services,Engineering & Operations Support,NA,NA,Expense,Engineering & Operations Support,0,2293658.2
2013,Utilities & Transportation,Transportation,General Expense,City Central Costs,NA,NA,Expense,City Central Costs,0,11753732.46
2013,Utilities & Transportation,Transportation,General Expense,Debt Service,NA,NA,Expense,Debt Service,0,27945577
2013,Utilities & Transportation,Transportation,General Expense,Indirect Cost Recovery - General Expense,NA,NA,Expense,Indirect Cost Recovery - General Expense,0,-11753732.83
2013,Utilities & Transportation,Transportation,General Expense,Judgment & Claims,NA,NA,Expense,Judgment & Claims,0,2974124.74
2013,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Bridges & Structures,NA,NA,Expense,Bridges & Structures,0,20463316.28
2013,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Landslide Mitigation,NA,NA,Expense,Landslide Mitigation,0,408994.92
2013,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Roads,NA,NA,Expense,Roads,0,19564896.85
2013,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Sidewalk Maintenance,NA,NA,Expense,Sidewalk Maintenance,0,2073367.08
2013,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Trails and Bike Paths,NA,NA,Expense,Trails and Bike Paths,0,6313424.99
2013,Utilities & Transportation,Transportation,Major Projects,Alaskan Way Viaduct and Seawall Replacement,NA,NA,Expense,Alaskan Way Viaduct and Seawall Replacement,0,72199012.72
2013,Utilities & Transportation,Transportation,Major Projects,First Hill Streetcar,NA,NA,Expense,First Hill Streetcar,0,24816641.84
2013,Utilities & Transportation,Transportation,Major Projects,Magnolia Bridge Replacement,NA,NA,Expense,Magnolia Bridge Replacement,0,
2013,Utilities & Transportation,Transportation,Major Projects,Mercer Corridor,NA,NA,Expense,Mercer Corridor,0,5465368.02
2013,Utilities & Transportation,Transportation,Major Projects,Mercer West,NA,NA,Expense,Mercer West,0,26853999.99
2013,Utilities & Transportation,Transportation,Major Projects,Spokane Street Viaduct,NA,NA,Expense,Spokane Street Viaduct,0,0.068300001
2013,Utilities & Transportation,Transportation,Major Projects,SR-520,NA,NA,Expense,SR-520,0,266977.74
2013,Utilities & Transportation,Transportation,Mobility-Capital,Corridor & Intersection Improvements,NA,NA,Expense,Corridor & Intersection Improvements,0,8036382.56
2013,Utilities & Transportation,Transportation,Mobility-Capital,Freight Mobility,NA,NA,Expense,Freight Mobility,0,400608.13
2013,Utilities & Transportation,Transportation,Mobility-Capital,Intelligent Transportation System,NA,NA,Expense,Intelligent Transportation System,0,
2013,Utilities & Transportation,Transportation,Mobility-Capital,Neighborhood Enhancements,NA,NA,Expense,Neighborhood Enhancements,0,3384364.82
2013,Utilities & Transportation,Transportation,Mobility-Capital,New Trails and Bike Paths,NA,NA,Expense,New Trails and Bike Paths,0,314134.82
2013,Utilities & Transportation,Transportation,Mobility-Capital,Sidewalks & Pedestrian Facilities,NA,NA,Expense,Sidewalks & Pedestrian Facilities,0,7295607.16
2013,Utilities & Transportation,Transportation,Mobility-Capital,Transit & HOV,NA,NA,Expense,Transit & HOV,0,4138902.5
2013,Utilities & Transportation,Transportation,Mobility-Operations,Commuter Mobility,NA,NA,Expense,Commuter Mobility,0,11220570.07
2013,Utilities & Transportation,Transportation,Mobility-Operations,Neighborhoods,NA,NA,Expense,Neighborhoods,0,2574178.61
2013,Utilities & Transportation,Transportation,Mobility-Operations,Parking,NA,NA,Expense,Parking,0,8414048.3
2013,Utilities & Transportation,Transportation,Mobility-Operations,Signs & Markings,NA,NA,Expense,Signs & Markings,0,4787672.32
2013,Utilities & Transportation,Transportation,Mobility-Operations,Traffic Signals,NA,NA,Expense,Traffic Signals,0,8586254.29
2013,Utilities & Transportation,Transportation,ROW Management,Street Use Permitting & Enforcement,NA,NA,Expense,Street Use Permitting & Enforcement,0,13733267.3
2013,Utilities & Transportation,Transportation,Street Maintenance,Emergency Response,NA,NA,Expense,Emergency Response,0,1951627.07
2013,Utilities & Transportation,Transportation,Street Maintenance,Operations Support,NA,NA,Expense,Operations Support,0,4206905.29
2013,Utilities & Transportation,Transportation,Street Maintenance,Pavement Management,NA,NA,Expense,Pavement Management,0,284075.12
2013,Utilities & Transportation,Transportation,Street Maintenance,Street Cleaning,NA,NA,Expense,Street Cleaning,0,5303120.18
2013,Utilities & Transportation,Transportation,Street Maintenance,Street Repair,NA,NA,Expense,Street Repair,0,11421044.23
2016,Public Safety,Fire,Operations,Battalion 4,NA,NA,Expense,Battalion 4,0,26316085
2013,Utilities & Transportation,Transportation,Urban Forestry,Arborist Services,NA,NA,Expense,Arborist Services,0,1028688.2
2013,Utilities & Transportation,Transportation,Urban Forestry,Tree & Landscape Maintenance,NA,NA,Expense,Tree & Landscape Maintenance,0,3582080.04
2012,Utilities & Transportation,Transportation,Bridges & Structures,Bridge Operations,NA,NA,Expense,Bridge Operations,0,2877331.01
2012,Utilities & Transportation,Transportation,Bridges & Structures,Structures Engineering,NA,NA,Expense,Structures Engineering,0,774173.25
2012,Utilities & Transportation,Transportation,Bridges & Structures,Structures Maintenance,NA,NA,Expense,Structures Maintenance,0,4069794.7
2012,Utilities & Transportation,Transportation,Department Management,Director's Office,NA,NA,Expense,Director's Office,0,2840667.32
2012,Utilities & Transportation,Transportation,Department Management,Division Management,NA,NA,Expense,Division Management,0,13630276.8
2012,Utilities & Transportation,Transportation,Department Management,Human Resources,NA,NA,Expense,Human Resources,0,1237924.15
2012,Utilities & Transportation,Transportation,Department Management,Indirect Cost Recovery - Department Management,NA,NA,Expense,Indirect Cost Recovery - Department Management,0,-29072774.76
2012,Utilities & Transportation,Transportation,Department Management,Public Information,NA,NA,Expense,Public Information,0,978700.25
2012,Utilities & Transportation,Transportation,Department Management,Resource Management,NA,NA,Expense,Resource Management,0,20244147.56
2012,Utilities & Transportation,Transportation,Department Management,Revenue Development,NA,NA,Expense,Revenue Development,0,709575.47
2012,Utilities & Transportation,Transportation,Engineering Services,Engineering & Operations Support,NA,NA,Expense,Engineering & Operations Support,0,1624523.39
2012,Utilities & Transportation,Transportation,General Expense,City Central Costs,NA,NA,Expense,City Central Costs,0,12324794.58
2012,Utilities & Transportation,Transportation,General Expense,Debt Service,NA,NA,Expense,Debt Service,0,26111350
2012,Utilities & Transportation,Transportation,General Expense,Indirect Cost Recovery - General Expense,NA,NA,Expense,Indirect Cost Recovery - General Expense,0,-11657438
2012,Utilities & Transportation,Transportation,General Expense,Judgment & Claims,NA,NA,Expense,Judgment & Claims,0,3507637
2012,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Bridges & Structures,NA,NA,Expense,Bridges & Structures,0,15032000.01
2012,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Landslide Mitigation,NA,NA,Expense,Landslide Mitigation,0,454000
2012,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Roads,NA,NA,Expense,Roads,0,18732998.96
2012,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Sidewalk Maintenance,NA,NA,Expense,Sidewalk Maintenance,0,1814000.12
2012,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Trails and Bike Paths,NA,NA,Expense,Trails and Bike Paths,0,5496999.84
2012,Utilities & Transportation,Transportation,Major Projects,Alaskan Way Viaduct and Seawall Replacement,NA,NA,Expense,Alaskan Way Viaduct and Seawall Replacement,0,16626999.86
2012,Utilities & Transportation,Transportation,Major Projects,First Hill Streetcar,NA,NA,Expense,First Hill Streetcar,0,48622999.96
2012,Utilities & Transportation,Transportation,Major Projects,Magnolia Bridge Replacement,NA,NA,Expense,Magnolia Bridge Replacement,0,0
2012,Utilities & Transportation,Transportation,Major Projects,Mercer Corridor,NA,NA,Expense,Mercer Corridor,0,10854000.46
2012,Utilities & Transportation,Transportation,Major Projects,Mercer West,NA,NA,Expense,Mercer West,0,11172999.57
2012,Utilities & Transportation,Transportation,Major Projects,Spokane Street Viaduct,NA,NA,Expense,Spokane Street Viaduct,0,11814999.97
2012,Utilities & Transportation,Transportation,Major Projects,SR-520,NA,NA,Expense,SR-520,0,259944.3
2012,Utilities & Transportation,Transportation,Mobility-Capital,Corridor & Intersection Improvements,NA,NA,Expense,Corridor & Intersection Improvements,0,11660000.25
2012,Utilities & Transportation,Transportation,Mobility-Capital,Freight Mobility,NA,NA,Expense,Freight Mobility,0,1823990.61
2012,Utilities & Transportation,Transportation,Mobility-Capital,Intelligent Transportation System,NA,NA,Expense,Intelligent Transportation System,0,0.0002
2012,Utilities & Transportation,Transportation,Mobility-Capital,Neighborhood Enhancements,NA,NA,Expense,Neighborhood Enhancements,0,10514000.62
2012,Utilities & Transportation,Transportation,Mobility-Capital,New Trails and Bike Paths,NA,NA,Expense,New Trails and Bike Paths,0,15026.3
2012,Utilities & Transportation,Transportation,Mobility-Capital,Sidewalks & Pedestrian Facilities,NA,NA,Expense,Sidewalks & Pedestrian Facilities,0,8041499.72
2012,Utilities & Transportation,Transportation,Mobility-Capital,Transit & HOV,NA,NA,Expense,Transit & HOV,0,14427871.46
2012,Utilities & Transportation,Transportation,Mobility-Operations,Commuter Mobility,NA,NA,Expense,Commuter Mobility,0,12189549.64
2012,Utilities & Transportation,Transportation,Mobility-Operations,Neighborhoods,NA,NA,Expense,Neighborhoods,0,1848516.37
2012,Utilities & Transportation,Transportation,Mobility-Operations,Parking,NA,NA,Expense,Parking,0,8551054.9
2012,Utilities & Transportation,Transportation,Mobility-Operations,Signs & Markings,NA,NA,Expense,Signs & Markings,0,3827599.66
2012,Utilities & Transportation,Transportation,Mobility-Operations,Traffic Signals,NA,NA,Expense,Traffic Signals,0,8722841.12
2012,Utilities & Transportation,Transportation,ROW Management,Street Use Permitting & Enforcement,NA,NA,Expense,Street Use Permitting & Enforcement,0,11524423.07
2012,Utilities & Transportation,Transportation,Street Maintenance,Emergency Response,NA,NA,Expense,Emergency Response,0,2210049.52
2012,Utilities & Transportation,Transportation,Street Maintenance,Operations Support,NA,NA,Expense,Operations Support,0,4104354.46
2012,Utilities & Transportation,Transportation,Street Maintenance,Pavement Management,NA,NA,Expense,Pavement Management,0,87192.98
2012,Utilities & Transportation,Transportation,Street Maintenance,Street Cleaning,NA,NA,Expense,Street Cleaning,0,4438281.09
2012,Utilities & Transportation,Transportation,Street Maintenance,Street Repair,NA,NA,Expense,Street Repair,0,11179495.41
2012,Utilities & Transportation,Transportation,Urban Forestry,Arborist Services,NA,NA,Expense,Arborist Services,0,970067.5
2012,Utilities & Transportation,Transportation,Urban Forestry,Tree & Landscape Maintenance,NA,NA,Expense,Tree & Landscape Maintenance,0,3432560.77
2011,Utilities & Transportation,Transportation,Bridges & Structures,Bridge Operations,NA,NA,Expense,Bridge Operations,0,2661291.6
2011,Utilities & Transportation,Transportation,Bridges & Structures,Structures Engineering,NA,NA,Expense,Structures Engineering,0,882557.28
2011,Utilities & Transportation,Transportation,Bridges & Structures,Structures Maintenance,NA,NA,Expense,Structures Maintenance,0,3981827.32
2011,Utilities & Transportation,Transportation,Department Management,Director's Office,NA,NA,Expense,Director's Office,0,2957933.48
2011,Utilities & Transportation,Transportation,Department Management,Division Management,NA,NA,Expense,Division Management,0,11723939.09
2011,Utilities & Transportation,Transportation,Department Management,Human Resources,NA,NA,Expense,Human Resources,0,1151828.88
2011,Utilities & Transportation,Transportation,Department Management,Indirect Cost Recovery - Department Management,NA,NA,Expense,Indirect Cost Recovery - Department Management,0,-27356862.12
2011,Utilities & Transportation,Transportation,Department Management,Public Information,NA,NA,Expense,Public Information,0,909993.91
2011,Utilities & Transportation,Transportation,Department Management,Resource Management,NA,NA,Expense,Resource Management,0,10667457.83
2011,Utilities & Transportation,Transportation,Department Management,Revenue Development,NA,NA,Expense,Revenue Development,0,657894.41
2011,Utilities & Transportation,Transportation,Engineering Services,Engineering & Operations Support,NA,NA,Expense,Engineering & Operations Support,0,1891726.08
2011,Utilities & Transportation,Transportation,General Expense,City Central Costs,NA,NA,Expense,City Central Costs,0,11361817.08
2011,Utilities & Transportation,Transportation,General Expense,Debt Service,NA,NA,Expense,Debt Service,0,19279045
2011,Utilities & Transportation,Transportation,General Expense,Indirect Cost Recovery - General Expense,NA,NA,Expense,Indirect Cost Recovery - General Expense,0,-11361315
2011,Utilities & Transportation,Transportation,General Expense,Judgment & Claims,NA,NA,Expense,Judgment & Claims,0,3507637
2011,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Bridges & Structures,NA,NA,Expense,Bridges & Structures,0,22992000.17
2011,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Landslide Mitigation,NA,NA,Expense,Landslide Mitigation,0,350000.01
2011,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Roads,NA,NA,Expense,Roads,0,22831000.46
2011,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Sidewalk Maintenance,NA,NA,Expense,Sidewalk Maintenance,0,1747999.8
2016,Public Safety,Fire,Operations,Battalion 5,NA,NA,Expense,Battalion 5,0,24591008
2011,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Trails and Bike Paths,NA,NA,Expense,Trails and Bike Paths,0,4651000.84
2011,Utilities & Transportation,Transportation,Major Projects,Alaskan Way Viaduct and Seawall Replacement,NA,NA,Expense,Alaskan Way Viaduct and Seawall Replacement,0,21765701.21
2011,Utilities & Transportation,Transportation,Major Projects,First Hill Streetcar,NA,NA,Expense,First Hill Streetcar,0,27249545
2011,Utilities & Transportation,Transportation,Major Projects,Magnolia Bridge Replacement,NA,NA,Expense,Magnolia Bridge Replacement,0,0
2011,Utilities & Transportation,Transportation,Major Projects,Mercer Corridor,NA,NA,Expense,Mercer Corridor,0,2251999.98
2011,Utilities & Transportation,Transportation,Major Projects,Mercer West,NA,NA,Expense,Mercer West,0,9037437
2011,Utilities & Transportation,Transportation,Major Projects,Spokane Street Viaduct,NA,NA,Expense,Spokane Street Viaduct,0,44526227.99
2011,Utilities & Transportation,Transportation,Major Projects,SR-520,NA,NA,Expense,SR-520,0,303067.97
2011,Utilities & Transportation,Transportation,Mobility-Capital,Corridor & Intersection Improvements,NA,NA,Expense,Corridor & Intersection Improvements,0,8405000.03
2011,Utilities & Transportation,Transportation,Mobility-Capital,Freight Mobility,NA,NA,Expense,Freight Mobility,0,645000
2011,Utilities & Transportation,Transportation,Mobility-Capital,Intelligent Transportation System,NA,NA,Expense,Intelligent Transportation System,0,7869
2011,Utilities & Transportation,Transportation,Mobility-Capital,Neighborhood Enhancements,NA,NA,Expense,Neighborhood Enhancements,0,7045999.99
2011,Utilities & Transportation,Transportation,Mobility-Capital,New Trails and Bike Paths,NA,NA,Expense,New Trails and Bike Paths,0,4070000.01
2011,Utilities & Transportation,Transportation,Mobility-Capital,Sidewalks & Pedestrian Facilities,NA,NA,Expense,Sidewalks & Pedestrian Facilities,0,5917547.12
2011,Utilities & Transportation,Transportation,Mobility-Capital,Transit & HOV,NA,NA,Expense,Transit & HOV,0,6542999.7
2016,Administration,Finance General,Reserves,Gun Violence Research,NA,NA,Expense,Gun Violence Research,0,0
2011,Utilities & Transportation,Transportation,Mobility-Operations,Commuter Mobility,NA,NA,Expense,Commuter Mobility,0,13795646.09
2011,Utilities & Transportation,Transportation,Mobility-Operations,Neighborhoods,NA,NA,Expense,Neighborhoods,0,1930568.06
2011,Utilities & Transportation,Transportation,Mobility-Operations,Parking,NA,NA,Expense,Parking,0,8616255.34
2011,Utilities & Transportation,Transportation,Mobility-Operations,Signs & Markings,NA,NA,Expense,Signs & Markings,0,3979836.74
2011,Utilities & Transportation,Transportation,Mobility-Operations,Traffic Signals,NA,NA,Expense,Traffic Signals,0,8520591.79
2011,Utilities & Transportation,Transportation,ROW Management,Street Use Permitting & Enforcement,NA,NA,Expense,Street Use Permitting & Enforcement,0,12134526.24
2011,Utilities & Transportation,Transportation,Street Maintenance,Emergency Response,NA,NA,Expense,Emergency Response,0,1621270.28
2011,Utilities & Transportation,Transportation,Street Maintenance,Operations Support,NA,NA,Expense,Operations Support,0,5152457.12
2011,Utilities & Transportation,Transportation,Street Maintenance,Pavement Management,NA,NA,Expense,Pavement Management,0,258970.59
2011,Utilities & Transportation,Transportation,Street Maintenance,Street Cleaning,NA,NA,Expense,Street Cleaning,0,3661962.4
2011,Utilities & Transportation,Transportation,Street Maintenance,Street Repair,NA,NA,Expense,Street Repair,0,19365301.85
2011,Utilities & Transportation,Transportation,Urban Forestry,Arborist Services,NA,NA,Expense,Arborist Services,0,971598.38
2011,Utilities & Transportation,Transportation,Urban Forestry,Tree & Landscape Maintenance,NA,NA,Expense,Tree & Landscape Maintenance,0,3131657.04
2010,Utilities & Transportation,Transportation,Bridges & Structures,Bridge Operations,NA,NA,Expense,Bridge Operations,0,2511305.79
2010,Utilities & Transportation,Transportation,Bridges & Structures,Structures Engineering,NA,NA,Expense,Structures Engineering,0,835384.5
2010,Utilities & Transportation,Transportation,Bridges & Structures,Structures Maintenance,NA,NA,Expense,Structures Maintenance,0,3898291.33
2010,Utilities & Transportation,Transportation,Department Management,Director's Office,NA,NA,Expense,Director's Office,0,2861435.92
2010,Utilities & Transportation,Transportation,Department Management,Division Management,NA,NA,Expense,Division Management,0,12391517.36
2010,Utilities & Transportation,Transportation,Department Management,Human Resources,NA,NA,Expense,Human Resources,0,1383878.55
2010,Utilities & Transportation,Transportation,Department Management,Indirect Cost Recovery - Department Management,NA,NA,Expense,Indirect Cost Recovery - Department Management,0,-27166430.61
2010,Utilities & Transportation,Transportation,Department Management,Public Information,NA,NA,Expense,Public Information,0,1034923.86
2010,Utilities & Transportation,Transportation,Department Management,Resource Management,NA,NA,Expense,Resource Management,0,12289810.59
2010,Utilities & Transportation,Transportation,Department Management,Revenue Development,NA,NA,Expense,Revenue Development,0,701474.52
2010,Utilities & Transportation,Transportation,Engineering Services,Engineering & Operations Support,NA,NA,Expense,Engineering & Operations Support,0,2279745.71
2010,Utilities & Transportation,Transportation,General Expense,City Central Costs,NA,NA,Expense,City Central Costs,0,8846481.46
2010,Utilities & Transportation,Transportation,General Expense,Debt Service,NA,NA,Expense,Debt Service,0,17829662.88
2010,Utilities & Transportation,Transportation,General Expense,Indirect Cost Recovery - General Expense,NA,NA,Expense,Indirect Cost Recovery - General Expense,0,-8846481
2010,Utilities & Transportation,Transportation,General Expense,Judgment & Claims,NA,NA,Expense,Judgment & Claims,0,2952611
2010,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Bridges & Structures,NA,NA,Expense,Bridges & Structures,0,54649999.98
2010,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Landslide Mitigation,NA,NA,Expense,Landslide Mitigation,0,400000.1
2010,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Roads,NA,NA,Expense,Roads,0,23549000.21
2010,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Sidewalk Maintenance,NA,NA,Expense,Sidewalk Maintenance,0,2074000.35
2010,Utilities & Transportation,Transportation,Major Maintenance/Replacement,Trails and Bike Paths,NA,NA,Expense,Trails and Bike Paths,0,4174000.33
2010,Utilities & Transportation,Transportation,Major Projects,Alaskan Way Viaduct and Seawall Replacement,NA,NA,Expense,Alaskan Way Viaduct and Seawall Replacement,0,14398907.75
2010,Utilities & Transportation,Transportation,Major Projects,First Hill Streetcar,NA,NA,Expense,First Hill Streetcar,0,3080000.25
2010,Utilities & Transportation,Transportation,Major Projects,Magnolia Bridge Replacement,NA,NA,Expense,Magnolia Bridge Replacement,0,0
2010,Utilities & Transportation,Transportation,Major Projects,Mercer Corridor,NA,NA,Expense,Mercer Corridor,0,22563999.84
2010,Utilities & Transportation,Transportation,Major Projects,Mercer West,NA,NA,Expense,Mercer West,0,9290000
2010,Utilities & Transportation,Transportation,Major Projects,Spokane Street Viaduct,NA,NA,Expense,Spokane Street Viaduct,0,25769221.91
2010,Utilities & Transportation,Transportation,Major Projects,SR-520,NA,NA,Expense,SR-520,0,75000.1
2010,Utilities & Transportation,Transportation,Mobility-Capital,Corridor & Intersection Improvements,NA,NA,Expense,Corridor & Intersection Improvements,0,5769000.49
2010,Utilities & Transportation,Transportation,Mobility-Capital,Freight Mobility,NA,NA,Expense,Freight Mobility,0,724000.16
2010,Utilities & Transportation,Transportation,Mobility-Capital,Intelligent Transportation System,NA,NA,Expense,Intelligent Transportation System,0,909999.7
2010,Utilities & Transportation,Transportation,Mobility-Capital,Neighborhood Enhancements,NA,NA,Expense,Neighborhood Enhancements,0,5575999.96
2010,Utilities & Transportation,Transportation,Mobility-Capital,New Trails and Bike Paths,NA,NA,Expense,New Trails and Bike Paths,0,6874999.55
2010,Utilities & Transportation,Transportation,Mobility-Capital,Sidewalks & Pedestrian Facilities,NA,NA,Expense,Sidewalks & Pedestrian Facilities,0,4947999.64
2010,Utilities & Transportation,Transportation,Mobility-Capital,Transit & HOV,NA,NA,Expense,Transit & HOV,0,12533000.07
2010,Utilities & Transportation,Transportation,Mobility-Operations,Commuter Mobility,NA,NA,Expense,Commuter Mobility,0,10911352.75
2010,Utilities & Transportation,Transportation,Mobility-Operations,Neighborhoods,NA,NA,Expense,Neighborhoods,0,4071690.33
2010,Utilities & Transportation,Transportation,Mobility-Operations,Parking,NA,NA,Expense,Parking,0,6826431.48
2010,Utilities & Transportation,Transportation,Mobility-Operations,Signs & Markings,NA,NA,Expense,Signs & Markings,0,4573667.9
2010,Utilities & Transportation,Transportation,Mobility-Operations,Traffic Signals,NA,NA,Expense,Traffic Signals,0,8730232.52
2010,Utilities & Transportation,Transportation,ROW Management,Street Use Permitting & Enforcement,NA,NA,Expense,Street Use Permitting & Enforcement,0,11304009.5
2010,Utilities & Transportation,Transportation,Street Maintenance,Emergency Response,NA,NA,Expense,Emergency Response,0,654040.17
2010,Utilities & Transportation,Transportation,Street Maintenance,Operations Support,NA,NA,Expense,Operations Support,0,4452175.68
2010,Utilities & Transportation,Transportation,Street Maintenance,Pavement Management,NA,NA,Expense,Pavement Management,0,247190.87
2010,Utilities & Transportation,Transportation,Street Maintenance,Street Cleaning,NA,NA,Expense,Street Cleaning,0,4029353.51
2010,Utilities & Transportation,Transportation,Street Maintenance,Street Repair,NA,NA,Expense,Street Repair,0,18863588.31
2010,Utilities & Transportation,Transportation,Urban Forestry,Arborist Services,NA,NA,Expense,Arborist Services,0,822574.13
2010,Utilities & Transportation,Transportation,Urban Forestry,Tree & Landscape Maintenance,NA,NA,Expense,Tree & Landscape Maintenance,0,3548913.74
2016,"Arts, Culture & Recreation",2012 Library Levy,Library Levy Operating Transfer,Library Levy Operating Transfer,NA,NA,Expense,Library Levy Operating Transfer,0,13665837
2016,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Administrative Services,NA,NA,Expense,Administrative Services,0,598187
2016,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Community Development and Outreach,NA,NA,Expense,Community Development and Outreach,0,611425
2016,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Cultural Partnerships,NA,NA,Expense,Cultural Partnerships,0,4517092
2016,"Arts, Culture & Recreation",Arts and Culture,Arts Account,Langston Hughes Performing Arts Institute,NA,NA,Expense,Langston Hughes Performing Arts Institute,0,428046
2016,"Arts, Culture & Recreation",Arts and Culture,Capital Arts,Capital Arts,NA,NA,Expense,Capital Arts,0,1856000
2016,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Artwork Conservation,NA,NA,Expense,Artwork Conservation,0,187000
2016,"Arts, Culture & Recreation",Arts and Culture,Municipal Arts Fund,Public Art,NA,NA,Expense,Public Art,0,3099449
2016,Administration,Auditor,Office of City Auditor,Office of City Auditor,NA,NA,Expense,Office of City Auditor,0,1792064
2016,Administration,Cable Fund,Cable Fee Support to Information Technology Fund,Business Office,NA,NA,Expense,Business Office,0,238437
2016,Administration,Cable Fund,Cable Fee Support to Information Technology Fund,Cable Communications,NA,NA,Expense,Cable Communications,0,907842
2016,Administration,Cable Fund,Cable Fee Support to Information Technology Fund,Community Technology,NA,NA,Expense,Community Technology,0,1715774
2016,Administration,Cable Fund,Cable Fee Support to Information Technology Fund,Engineering and Operations,NA,NA,Expense,Engineering and Operations,0,1155473
2016,Administration,Cable Fund,Cable Fee Support to Information Technology Fund,"Leadership, Planning and Security",NA,NA,Expense,"Leadership, Planning and Security",0,733797
2016,Administration,Cable Fund,Cable Fee Support to Information Technology Fund,Seattle Channel/Democracy Portal,NA,NA,Expense,Seattle Channel/Democracy Portal,0,3709800
2016,Administration,Cable Fund,Cable Fee Support to Information Technology Fund,Web Site Support,NA,NA,Expense,Web Site Support,0,945258
2016,Administration,Cable Fund,Cable Fee Support to Library Fund,Citizen Literacy/Access,NA,NA,Expense,Citizen Literacy/Access,0,530000
2016,Administration,City Budget Office,City Budget Office,City Budget Office,NA,NA,Expense,City Budget Office,0,5895076
